Date,Item_Name,Day_of_Week,Local_Temperature,Is_Flu_Season,Quantity_Dispensed
2024-01-01,Amoxicillin,0,12.5,1,14
2024-01-01,Bandages,0,12.5,1,10
2024-01-01,Cough Syrup,0,12.5,1,31
2024-01-01,Flu Vaccines,0,12.5,1,28
2024-01-01,Paracetamol,0,12.5,1,36
2024-01-02,Amoxicillin,1,7.7,1,17
2024-01-02,Bandages,1,7.7,1,6
2024-01-02,Cough Syrup,1,7.7,1,8
2024-01-02,Flu Vaccines,1,7.7,1,27
2024-01-02,Paracetamol,1,7.7,1,25
2024-01-03,Amoxicillin,2,4.9,1,16
2024-01-03,Bandages,2,4.9,1,3
2024-01-03,Cough Syrup,2,4.9,1,24
2024-01-03,Flu Vaccines,2,4.9,1,31
2024-01-03,Paracetamol,2,4.9,1,20
2024-01-04,Amoxicillin,3,7.3,1,15
2024-01-04,Bandages,3,7.3,1,13
2024-01-04,Cough Syrup,3,7.3,1,20
2024-01-04,Flu Vaccines,3,7.3,1,24
2024-01-04,Paracetamol,3,7.3,1,18
2024-01-05,Amoxicillin,4,9.9,1,9
2024-01-05,Bandages,4,9.9,1,8
2024-01-05,Cough Syrup,4,9.9,1,10
2024-01-05,Flu Vaccines,4,9.9,1,25
2024-01-05,Paracetamol,4,9.9,1,38
2024-01-06,Amoxicillin,5,13.7,1,9
2024-01-06,Bandages,5,13.7,1,6
2024-01-06,Cough Syrup,5,13.7,1,11
2024-01-06,Flu Vaccines,5,13.7,1,11
2024-01-06,Paracetamol,5,13.7,1,17
2024-01-07,Amoxicillin,6,11.7,1,1
2024-01-07,Bandages,6,11.7,1,2
2024-01-07,Cough Syrup,6,11.7,1,6
2024-01-07,Flu Vaccines,6,11.7,1,4
2024-01-07,Paracetamol,6,11.7,1,6
2024-01-08,Amoxicillin,0,5.8,1,13
2024-01-08,Bandages,0,5.8,1,4
2024-01-08,Cough Syrup,0,5.8,1,18
2024-01-08,Flu Vaccines,0,5.8,1,26
2024-01-08,Paracetamol,0,5.8,1,33
2024-01-09,Amoxicillin,1,14.1,1,21
2024-01-09,Bandages,1,14.1,1,12
2024-01-09,Cough Syrup,1,14.1,1,24
2024-01-09,Flu Vaccines,1,14.1,1,30
2024-01-09,Paracetamol,1,14.1,1,29
2024-01-10,Amoxicillin,2,9.8,1,22
2024-01-10,Bandages,2,9.8,1,2
2024-01-10,Cough Syrup,2,9.8,1,24
2024-01-10,Flu Vaccines,2,9.8,1,29
2024-01-10,Paracetamol,2,9.8,1,3
2024-01-11,Amoxicillin,3,8.9,1,16
2024-01-11,Bandages,3,8.9,1,8
2024-01-11,Cough Syrup,3,8.9,1,27
2024-01-11,Flu Vaccines,3,8.9,1,21
2024-01-11,Paracetamol,3,8.9,1,44
2024-01-12,Amoxicillin,4,7.4,1,17
2024-01-12,Bandages,4,7.4,1,3
2024-01-12,Cough Syrup,4,7.4,1,21
2024-01-12,Flu Vaccines,4,7.4,1,25
2024-01-12,Paracetamol,4,7.4,1,30
2024-01-13,Amoxicillin,5,11.5,1,9
2024-01-13,Bandages,5,11.5,1,3
2024-01-13,Cough Syrup,5,11.5,1,12
2024-01-13,Flu Vaccines,5,11.5,1,11
2024-01-13,Paracetamol,5,11.5,1,18
2024-01-14,Amoxicillin,6,9.2,1,3
2024-01-14,Bandages,6,9.2,1,1
2024-01-14,Cough Syrup,6,9.2,1,3
2024-01-14,Flu Vaccines,6,9.2,1,5
2024-01-14,Paracetamol,6,9.2,1,9
2024-01-15,Amoxicillin,0,10.3,1,27
2024-01-15,Bandages,0,10.3,1,10
2024-01-15,Cough Syrup,0,10.3,1,26
2024-01-15,Flu Vaccines,0,10.3,1,27
2024-01-15,Paracetamol,0,10.3,1,28
2024-01-16,Amoxicillin,1,14.0,1,10
2024-01-16,Bandages,1,14.0,1,6
2024-01-16,Cough Syrup,1,14.0,1,28
2024-01-16,Flu Vaccines,1,14.0,1,27
2024-01-16,Paracetamol,1,14.0,1,44
2024-01-17,Amoxicillin,2,10.5,1,12
2024-01-17,Bandages,2,10.5,1,12
2024-01-17,Cough Syrup,2,10.5,1,22
2024-01-17,Flu Vaccines,2,10.5,1,21
2024-01-17,Paracetamol,2,10.5,1,14
2024-01-18,Amoxicillin,3,6.1,1,13
2024-01-18,Bandages,3,6.1,1,8
2024-01-18,Cough Syrup,3,6.1,1,22
2024-01-18,Flu Vaccines,3,6.1,1,25
2024-01-18,Paracetamol,3,6.1,1,38
2024-01-19,Amoxicillin,4,11.3,1,18
2024-01-19,Bandages,4,11.3,1,9
2024-01-19,Cough Syrup,4,11.3,1,27
2024-01-19,Flu Vaccines,4,11.3,1,26
2024-01-19,Paracetamol,4,11.3,1,17
2024-01-20,Amoxicillin,5,6.6,1,9
2024-01-20,Bandages,5,6.6,1,5
2024-01-20,Cough Syrup,5,6.6,1,12
2024-01-20,Flu Vaccines,5,6.6,1,20
2024-01-20,Paracetamol,5,6.6,1,19
2024-01-21,Amoxicillin,6,5.1,1,3
2024-01-21,Bandages,6,5.1,1,2
2024-01-21,Cough Syrup,6,5.1,1,6
2024-01-21,Flu Vaccines,6,5.1,1,6
2024-01-21,Paracetamol,6,5.1,1,8
2024-01-22,Amoxicillin,0,8.8,1,11
2024-01-22,Bandages,0,8.8,1,10
2024-01-22,Cough Syrup,0,8.8,1,27
2024-01-22,Flu Vaccines,0,8.8,1,24
2024-01-22,Paracetamol,0,8.8,1,21
2024-01-23,Amoxicillin,1,10.1,1,22
2024-01-23,Bandages,1,10.1,1,9
2024-01-23,Cough Syrup,1,10.1,1,16
2024-01-23,Flu Vaccines,1,10.1,1,35
2024-01-23,Paracetamol,1,10.1,1,27
2024-01-24,Amoxicillin,2,8.9,1,18
2024-01-24,Bandages,2,8.9,1,10
2024-01-24,Cough Syrup,2,8.9,1,16
2024-01-24,Flu Vaccines,2,8.9,1,22
2024-01-24,Paracetamol,2,8.9,1,34
2024-01-25,Amoxicillin,3,11.1,1,8
2024-01-25,Bandages,3,11.1,1,4
2024-01-25,Cough Syrup,3,11.1,1,25
2024-01-25,Flu Vaccines,3,11.1,1,23
2024-01-25,Paracetamol,3,11.1,1,31
2024-01-26,Amoxicillin,4,11.8,1,17
2024-01-26,Bandages,4,11.8,1,9
2024-01-26,Cough Syrup,4,11.8,1,23
2024-01-26,Flu Vaccines,4,11.8,1,22
2024-01-26,Paracetamol,4,11.8,1,40
2024-01-27,Amoxicillin,5,12.6,1,20
2024-01-27,Bandages,5,12.6,1,6
2024-01-27,Cough Syrup,5,12.6,1,15
2024-01-27,Flu Vaccines,5,12.6,1,20
2024-01-27,Paracetamol,5,12.6,1,21
2024-01-28,Amoxicillin,6,6.1,1,2
2024-01-28,Bandages,6,6.1,1,0
2024-01-28,Cough Syrup,6,6.1,1,4
2024-01-28,Flu Vaccines,6,6.1,1,7
2024-01-28,Paracetamol,6,6.1,1,5
2024-01-29,Amoxicillin,0,7.6,1,20
2024-01-29,Bandages,0,7.6,1,8
2024-01-29,Cough Syrup,0,7.6,1,24
2024-01-29,Flu Vaccines,0,7.6,1,21
2024-01-29,Paracetamol,0,7.6,1,30
2024-01-30,Amoxicillin,1,10.2,1,11
2024-01-30,Bandages,1,10.2,1,10
2024-01-30,Cough Syrup,1,10.2,1,22
2024-01-30,Flu Vaccines,1,10.2,1,18
2024-01-30,Paracetamol,1,10.2,1,51
2024-01-31,Amoxicillin,2,6.0,1,14
2024-01-31,Bandages,2,6.0,1,6
2024-01-31,Cough Syrup,2,6.0,1,21
2024-01-31,Flu Vaccines,2,6.0,1,22
2024-01-31,Paracetamol,2,6.0,1,35
2024-02-01,Amoxicillin,3,18.8,1,17
2024-02-01,Bandages,3,18.8,1,6
2024-02-01,Cough Syrup,3,18.8,1,21
2024-02-01,Flu Vaccines,3,18.8,1,39
2024-02-01,Paracetamol,3,18.8,1,17
2024-02-02,Amoxicillin,4,16.3,1,11
2024-02-02,Bandages,4,16.3,1,4
2024-02-02,Cough Syrup,4,16.3,1,8
2024-02-02,Flu Vaccines,4,16.3,1,23
2024-02-02,Paracetamol,4,16.3,1,34
2024-02-03,Amoxicillin,5,8.7,1,5
2024-02-03,Bandages,5,8.7,1,2
2024-02-03,Cough Syrup,5,8.7,1,19
2024-02-03,Flu Vaccines,5,8.7,1,13
2024-02-03,Paracetamol,5,8.7,1,27
2024-02-04,Amoxicillin,6,15.8,1,3
2024-02-04,Bandages,6,15.8,1,1
2024-02-04,Cough Syrup,6,15.8,1,4
2024-02-04,Flu Vaccines,6,15.8,1,5
